Time,Temperature,Pressure,Altitude,Latitude,Longitude,gps_altitude,gps_sats,gyro_x,gyro_y,gyro_z,bmp_status,gps_status,gyro_status,apc_status,servo_status,servo_rotation,sd_status
43,53,73,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
44,54,74,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
45,55,75,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
46,56,76,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
47,57,77,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
48,58,78,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
49,59,79,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
50,60,80,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
51,61,81,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
52,62,82,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
53,63,83,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
54,64,84,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
55,65,85,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
56,66,86,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
57,67,87,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
58,68,88,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
59,69,89,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
60,70,90,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
61,71,91,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
62,72,92,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
63,73,93,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
64,74,94,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
65,75,95,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
66,76,96,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
67,77,97,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
68,78,98,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
69,79,99,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
70,80,100,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
71,81,101,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
72,82,102,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
73,83,103,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
74,84,104,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
75,85,105,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
76,86,106,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
77,87,107,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
78,88,108,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
79,89,109,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
80,90,110,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
81,91,111,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
82,92,112,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
83,93,113,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
84,94,114,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
85,95,115,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
86,96,116,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
87,97,117,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
88,98,118,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
89,99,119,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
90,100,120,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
91,101,121,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
92,102,122,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
93,103,123,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
94,104,124,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
95,105,125,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
96,106,126,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
97,107,127,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
98,108,128,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
99,109,129,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
100,110,130,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
101,111,131,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
102,112,132,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
103,113,133,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
104,114,134,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
105,115,135,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
106,116,136,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
107,117,137,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
108,118,138,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
109,119,139,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
110,120,140,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
111,121,141,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
112,122,142,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
113,123,143,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
114,124,144,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
115,125,145,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
116,126,146,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
117,127,147,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
118,128,148,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
119,129,149,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
120,130,150,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
121,131,151,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
122,132,152,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
123,133,153,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
124,134,154,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
125,135,155,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
126,136,156,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
127,137,157,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
128,138,158,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
129,139,159,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
130,140,160,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
131,141,161,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
132,142,162,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
133,143,163,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
134,144,164,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
135,145,165,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
136,146,166,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
137,147,167,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
138,148,168,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
139,149,169,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
140,150,170,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
141,151,171,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
142,152,172,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
143,153,173,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
144,154,174,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
145,155,175,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
146,156,176,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
147,157,177,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
148,158,178,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
149,159,179,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
150,160,180,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
151,161,181,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
152,162,182,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
153,163,183,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
154,164,184,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
155,165,185,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
156,166,186,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
157,167,187,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
158,168,188,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
159,169,189,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
160,170,190,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
161,171,191,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
162,172,192,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
163,173,193,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
164,174,194,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
165,175,195,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
166,176,196,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
167,177,197,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
168,178,198,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
169,179,199,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
170,180,200,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
171,181,201,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
172,182,202,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
173,183,203,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
174,184,204,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
175,185,205,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
176,186,206,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
177,187,207,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
178,188,208,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
179,189,209,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
180,190,210,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
181,191,211,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
182,192,212,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
183,193,213,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
184,194,214,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
185,195,215,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
186,196,216,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
187,197,217,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
188,198,218,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
189,199,219,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
190,200,220,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
191,201,221,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
192,202,222,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
193,203,223,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
194,204,224,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
195,205,225,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
196,206,226,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
197,207,227,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
198,208,228,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
199,209,229,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
200,210,230,40,41.382736,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
